Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
28,Q054,P.S. 54 - QUEENS,SCA CIP RESOA,FY15 RESO A PLAYGROUND REDEVELOPMENT,Construction,In-Progress,06/11/2018,03/07/2019,,572000,442968,268135.00,DSF: 0000800359
28,Q054,P.S. 54 - QUEENS,SCA CIP RESOA,FY15 RESO A PLAYGROUND REDEVELOPMENT,Design,Complete,09/01/2017,01/23/2018,04/18/2018,39000,48079,46097.00,DSF: 0000800359
28,Q054,P.S. 54 - QUEENS,SCA CIP RESOA,FY15 RESO A PLAYGROUND REDEVELOPMENT,Scope,Complete,04/28/2017,07/28/2017,08/23/2017,0,22670,22670.00,DSF: 0000800359
28,Q054,P.S. 54 - QUEENS,SCA IEH,IEH PO18-ROOM 252,Construction,In-Progress,11/25/2015,IEH,,IEH,655,655.00,DSF: 0000039064
28,Q054,P.S. 54 - QUEENS,SCA IEH,IEH PO18-VARIOUS,Construction,In-Progress,11/16/2017,IEH,,IEH,4500,0.00,DSF: 0000049345
28,Q054,P.S. 54 - QUEENS,SCA IEH,"IEH PO18-PRINCIPALS BATHROOM, STAFF BATHROOM 256",Construction,In-Progress,04/24/2017,IEH,,IEH,3535,35.00,DSF: 0000046381
28,Q054,P.S. 54 - QUEENS,SCA IEH,IEH PO18-RM 306,Construction,Complete,04/24/2017,IEH,12/09/2018,IEH,24932,0.00,DSF: 0000046367
28,Q055,P.S. 55 - QUEENS,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,100000,100000,0.00,DSF: 0000890267
28,Q055,P.S. 55 - QUEENS,DOE- RESOA,FY18 RESO A TOILETS-STUDENTS,Construction,In-Progress,12/01/2017,DOER,,170000,0,0.00,DSF: 0000867402
28,Q055,P.S. 55 - QUEENS,SCA CIP,PLANYC CLIMATE CTRL/PLANYC BOILER CONVERSION,"CM, F&E",In-Progress,03/25/2019,11/13/2020,,443870,55611,55611.00,"DSF: 0000788465, 0000798475"
28,Q055,P.S. 55 - QUEENS,SCA CIP,PLANYC CLIMATE CTRL/PLANYC BOILER CONVERSION,Construction,In-Progress,03/25/2019,11/13/2020,,7133625,6361400,20398.00,"DSF: 0000788465, 0000798475"
28,Q055,P.S. 55 - QUEENS,SCA CIP,PLANYC CLIMATE CTRL/PLANYC BOILER CONVERSION,Design,Complete,04/11/2018,09/11/2018,08/30/2018,380460,229302,229165.00,"DSF: 0000788465, 0000798475"
28,Q055,P.S. 55 - QUEENS,SCA CIP,PLANYC CLIMATE CTRL/PLANYC BOILER CONVERSION,Scope,Complete,01/10/2018,06/12/2018,04/03/2018,95115,76257,68731.00,"DSF: 0000788465, 0000798475"
27,Q056,P.S. 56 - QUEENS,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,34737,34737,0.00,DSF: 0000822535
27,Q056,P.S. 56 - QUEENS,SCA CIP,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,"CM, F&E",PNS,PNS,PNS,PNS,90951,90951,156.00,DSF: 0000912167
27,Q056,P.S. 56 - QUEENS,SCA CIP,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,Construction,PNS,PNS,PNS,PNS,1461708,1461708,0.00,DSF: 0000912167
27,Q056,P.S. 56 - QUEENS,SCA CIP,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,Design,In-Progress,03/27/2019,05/17/2019,,77958,77958,480.00,DSF: 0000912167
27,Q056,P.S. 56 - QUEENS,SCA CIP,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,Scope,Complete,01/31/2019,03/15/2019,03/27/2019,19489,22323,120.00,DSF: 0000912167
24,Q058,P.S. 58 - QUEENS,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,69472,69472,0.00,DSF: 0000823497
24,Q058,P.S. 58 - QUEENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,35000,35000,0.00,DSF: 0000844542
24,Q058,P.S. 58 - QUEENS,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,100000,100000,0.00,DSF: 0000890268
24,Q058,Q009 SPED - QUEENS,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,35000,35000,0.00,DSF: 0000890239
24,Q058,P.S. 58 - QUEENS,DIIT - RESOA,FY14 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,34648,34648,0.00,DSF: 0000799100
24,Q058,P.S. 58 - QUEENS,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,09/08/2017,DOES,,DOES,,0.00,DSF: 0000866022
24,Q058,P.S. 58 - QUEENS,DOE - Skilled Trades,HVAC COOLING SYSTEM REPLACEMENT,Construction,In-Progress,07/01/2018,DOES,,DOES,908917,908917.00,DSF: 0000887550
29,Q059,I.S. 59 - QUEENS,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,DIIT,,DIIT,29943,0.00,DSF: 0000777142
29,Q059,I.S. 59 - QUEENS,DOE - Skilled Trades,ELECTRICAL WORK FOR A/C INITIATIVE,Construction,In-Progress,09/24/2018,DOES,,DOES,56074,56074.00,DSF: 0000868217
29,Q059,I.S. 59 - QUEENS,Fast Track Projects,CTF ROOM CONVERSION,Construction,Complete,06/05/2018,FTK,12/05/2018,FTK,442227,243424.00,DSF: 0000868063
29,Q059,I.S. 59 - QUEENS,Fast Track Projects,FY19 RESO A GYMNASIUM UPGRADE,Construction,In-Progress,12/20/2018,FTK,,FTK,67950,4524.00,DSF: 0000890864
29,Q059,I.S. 59 - QUEENS,Fast Track Projects,CTF-CHARTER MATCH ROOM CONVERSION,Construction,Complete,06/01/2018,FTK,12/05/2018,FTK,442108,250579.00,DSF: 0000888960
29,Q059,I.S. 59 - QUEENS,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,"CM, F&E",In-Progress,06/25/2018,04/20/2019,,78973,165679,121893.00,DSF: 0000867053
29,Q059,I.S. 59 - QUEENS,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Construction,In-Progress,06/25/2018,04/20/2019,,340752,308286,215717.00,DSF: 0000867053
29,Q059,I.S. 59 - QUEENS,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Design,Complete,10/19/2017,04/18/2018,02/06/2018,32174,15886,15886.00,DSF: 0000867053
29,Q059,I.S. 59 - QUEENS,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,Complete,09/19/2017,01/23/2018,10/19/2017,8775,3948,3948.00,DSF: 0000867053
27,Q060,P.S. 60 - QUEENS,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,100000,100000,0.00,DSF: 0000890269
24,Q061,I.S. 61 - QUEENS,DIIT - RESOA,FY10 RESO A- DESKTOP COMPUTERS,Purch & Install,PNS,PNS,PNS,PNS,50000,50000,0.00,DSF: 0000690218
24,Q061,I.S. 61 - QUEENS,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,34735,34735,0.00,DSF: 0000822441
24,Q061,I.S. 61 - QUEENS,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,In-Progress,03/28/2019,DIIR,,100000,100000,99247.00,DSF: 0000890270
24,Q061,I.S. 61 - QUEENS,SCA CIP,MASONRY/ROOFS/PARAPETS,"CM, F&E",Complete,10/10/2017,10/09/2018,02/01/2019,556958,358662,344113.00,"DSF: 0000833964, 0000833966, 0000844152"
24,Q061,I.S. 61 - QUEENS,SCA CIP,MASONRY/ROOFS/PARAPETS,Construction,Complete,10/10/2017,10/09/2018,02/01/2019,6655182,5847979,5382955.00,"DSF: 0000833964, 0000833966, 0000844152"
24,Q061,I.S. 61 - QUEENS,SCA CIP,MASONRY/ROOFS/PARAPETS,Design,Complete,06/29/2016,12/01/2016,01/10/2017,389565,239368,225313.00,"DSF: 0000833964, 0000833966, 0000844152"
24,Q061,I.S. 61 - QUEENS,SCA CIP,MASONRY/ROOFS/PARAPETS,Scope,Complete,02/04/2016,06/20/2016,05/31/2016,99199,67308,67308.00,"DSF: 0000833964, 0000833966, 0000844152"
27,Q062,P.S. 62 - QUEENS,DIIT - RESOA,FY13 RESO A TECHNOLOGY,Purch & Install,In-Progress,08/19/2013,DIIR,,150000,150000,0.00,DSF: 0000754618
27,Q062,P.S. 62 - QUEENS,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,127031,127031,0.00,DSF: 0000823474
27,Q062,P.S. 62 - QUEENS,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,75000,75000,0.00,DSF: 0000890271
27,Q062,P.S. 62 - QUEENS,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,02/22/2019,DOES,,DOES,201605,201605.00,DSF: 0000889620
27,Q063,P.S. 63 - QUEENS,SCA IEH,IEH PO18-ROOM 315,Construction,In-Progress,10/24/2018,IEH,,IEH,5500,0.00,DSF: 0000054427
27,Q064,P.S. 64 - QUEENS,SCA CIP,PLANYC BOILER CONVERSION/PLANYC CLIMATE CTRL/FA,"CM, F&E",In-Progress,04/16/2018,01/05/2020,,597526,296967,252104.00,"DSF: 0000844688, 0000855949, 0000855950"
27,Q064,P.S. 64 - QUEENS,SCA CIP,PLANYC BOILER CONVERSION/PLANYC CLIMATE CTRL/FA,Construction,In-Progress,04/16/2018,01/05/2020,,7389011,7034898,3159918.00,"DSF: 0000844688, 0000855949, 0000855950"
27,Q064,P.S. 64 - QUEENS,SCA CIP,PLANYC BOILER CONVERSION/PLANYC CLIMATE CTRL/FA,Design,Complete,05/08/2017,10/06/2017,10/18/2017,427468,526263,212185.00,"DSF: 0000844688, 0000855949, 0000855950"
27,Q064,P.S. 64 - QUEENS,SCA CIP,PLANYC BOILER CONVERSION/PLANYC CLIMATE CTRL/FA,Scope,Complete,09/13/2016,02/16/2017,03/30/2017,108610,185240,148834.00,"DSF: 0000844688, 0000855949, 0000855950"
27,Q066,P.S. 66 - QUEENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,35000,35000,0.00,DSF: 0000844490
27,Q066,P.S. 66 - QUEENS,DIIT - RESOA,FY18 RESO A TECHNOLOGY,Purch & Install,Complete,04/18/2018,DIIR,10/01/2018,75426,75426,75426.00,DSF: 0000867973
27,Q066,P.S. 66 - QUEENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,40000,40000,0.00,DSF: 0000845437
27,Q066,P.S. 66 - QUEENS,DOE - Skilled Trades,ELECTRICAL WORK FOR A/C INITIATIVE,Construction,In-Progress,06/20/2018,DOES,,DOES,4085,4085.00,DSF: 0000866916
27,Q066,P.S. 66 - QUEENS,SCA Capacity,ADDITION,"CM,Art,F&E",In-Progress,06/21/2017,08/20/2020,,4382568,4332286,2612116.00,DSF: 0000801039
27,Q066,P.S. 66 - QUEENS,SCA Capacity,ADDITION,Construction,In-Progress,06/21/2017,08/20/2020,,31121781,28740734,21640849.00,DSF: 0000801039
27,Q066,P.S. 66 - QUEENS,SCA Capacity,ADDITION,Design,Complete,02/23/2016,08/15/2016,12/09/2016,2219022,2817354,1841120.00,DSF: 0000801039
27,Q066,P.S. 66 - QUEENS,SCA Capacity,ADDITION,Scope,Complete,08/05/2015,02/04/2016,02/22/2016,693444,665545,665545.00,DSF: 0000801039
27,Q066,P.S. 66 - QUEENS,SCA IEH,IEH PO18-ROOMS 101 & 201 CEILINGS,Construction,In-Progress,05/11/2017,IEH,,IEH,3500,0.00,DSF: 0000046645
26,Q067,J.H.S. 67 - QUEENS,DIIT - RESOA,FY18 RESO A TECHNOLOGY,Purch & Install,Complete,08/27/2018,DIIR,11/14/2018,49463,49463,49463.00,DSF: 0000867584
26,Q067,J.H.S. 67 - QUEENS,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,34495,34495,0.00,DSF: 0000822449
26,Q067,J.H.S. 67 - QUEENS,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,34738,34738,0.00,DSF: 0000823324
26,Q067,J.H.S. 67 - QUEENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,50000,50000,0.00,DSF: 0000845448
26,Q067,J.H.S. 67 - QUEENS,DOE - Skilled Trades,ELECTRICAL WORK FOR A/C INITIATIVE,Construction,In-Progress,10/03/2017,DOES,,DOES,32748,32748.00,DSF: 0000866917
26,Q067,J.H.S. 67 - QUEENS,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,Complete,10/12/2018,DOES,12/14/2018,DOES,210913,210913.00,DSF: 0000866024
26,Q067,J.H.S. 67 - QUEENS,SCA CIP,FLOOD ELIMINATION,"CM, F&E",In-Progress,06/18/2018,05/13/2019,,115360,196469,169309.00,DSF: 0000788635
26,Q067,J.H.S. 67 - QUEENS,SCA CIP,FLOOD ELIMINATION,Construction,In-Progress,06/18/2018,05/13/2019,,1854000,1698768,333309.00,DSF: 0000788635
26,Q067,J.H.S. 67 - QUEENS,SCA CIP,FLOOD ELIMINATION,Design,Complete,09/30/2015,03/07/2016,09/08/2016,98880,101542,92050.00,DSF: 0000788635
26,Q067,J.H.S. 67 - QUEENS,SCA CIP,FLOOD ELIMINATION,Scope,Complete,10/06/2014,02/25/2015,07/10/2015,24720,88032,87833.00,DSF: 0000788635
26,Q067,J.H.S. 67 - QUEENS,SCA Furniture & Equi,FY19 RESO A MOBILE SCIENCE LAB,F&E,PNS,PNS,PNS,PNS,50000,50000,0.00,DSF: 0000890273
26,Q067,J.H.S. 67 - QUEENS,SCA IEH,"IEH PO18-ROOMS 201,202, 203, 225, 301, 303",Construction,In-Progress,10/11/2018,IEH,,IEH,122151,0.00,DSF: 0000054212
26,Q067,J.H.S. 67 - QUEENS,SCA IEH,IEH PO18-ROOM B14,Construction,In-Progress,11/20/2018,IEH,,IEH,500,0.00,DSF: 0000055046
24,Q068,P.S. 68 - QUEENS,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,69473,69473,0.00,DSF: 0000823499
24,Q068,P.S. 68 - QUEENS,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,100000,100000,0.00,DSF: 0000890274
24,Q068,P.S. 68 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,"CM, F&E",PNS,PNS,PNS,PNS,53699,53699,128.00,DSF: 0000868219
24,Q068,P.S. 68 - QUEENS,SCA CIP,AUDITORIUM UPGRADE,"CM, F&E",Complete,02/12/2018,11/08/2018,11/08/2018,241650,114398,114086.00,DSF: 0000743071
24,Q068,P.S. 68 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Construction,PNS,PNS,PNS,PNS,231702,231702,0.00,DSF: 0000868219
24,Q068,P.S. 68 - QUEENS,SCA CIP,AUDITORIUM UPGRADE,Construction,Complete,02/12/2018,11/08/2018,11/08/2018,1042675,1041549,666071.00,DSF: 0000743071
24,Q068,P.S. 68 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Design,In-Progress,10/29/2018,04/03/2019,,21877,21877,9476.00,DSF: 0000868219
24,Q068,P.S. 68 - QUEENS,SCA CIP,AUDITORIUM UPGRADE,Design,Complete,10/16/2012,03/21/2013,01/29/2014,98450,81969,81657.00,DSF: 0000743071
24,Q068,P.S. 68 - QUEENS,SCA CIP,AUDITORIUM UPGRADE,Scope,Complete,06/18/2012,10/18/2012,09/12/2012,26850,23082,23082.00,DSF: 0000743071
24,Q068,P.S. 68 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Scope,Complete,10/17/2018,02/21/2019,10/29/2018,5967,2369,2369.00,DSF: 0000868219
30,Q069,P.S. 69 - QUEENS,DOE- RESOA,FY10 RESO A STEEL FENCE,Construction,PNS,PNS,PNS,PNS,91000,0,0.00,DSF: 0000690095
30,Q069,P.S. 69 - QUEENS,SCA CIP,FIRE ALARM REPLACMENT,"CM, F&E",PNS,PNS,PNS,PNS,103383,103383,17377.00,DSF: 0000053506
30,Q069,P.S. 69 - QUEENS,SCA CIP,DEFECTIVE CHIMNEY MASONRY/FLOOD/ROOFS/FLOORING,"CM, F&E",In-Progress,03/06/2018,03/05/2019,,414079,317771,297870.00,"DSF: 0000834091, 0000856028, 0000865950, 0000865951"
30,Q069,P.S. 69 - QUEENS,SCA CIP,DEFECTIVE CHIMNEY MASONRY/FLOOD/ROOFS/FLOORING,Construction,In-Progress,03/06/2018,03/05/2019,,2735884,3123223,2714239.00,"DSF: 0000834091, 0000856028, 0000865950, 0000865951"
30,Q069,P.S. 69 - QUEENS,SCA CIP,FIRE ALARM REPLACMENT,Construction,PNS,PNS,PNS,PNS,1661520,1661520,320549.00,DSF: 0000053506
30,Q069,P.S. 69 - QUEENS,SCA CIP,DEFECTIVE CHIMNEY MASONRY/FLOOD/ROOFS/FLOORING,Design,Complete,02/08/2017,07/11/2017,08/31/2017,205009,135406,130996.00,"DSF: 0000834091, 0000856028, 0000865950, 0000865951"
30,Q069,P.S. 69 - QUEENS,SCA CIP,FIRE ALARM REPLACMENT,Design,Complete,09/07/2018,03/01/2019,02/13/2019,88614,10912,10912.00,DSF: 0000053506
30,Q069,P.S. 69 - QUEENS,SCA CIP,FIRE ALARM REPLACMENT,Scope,Complete,09/07/2018,03/07/2019,09/07/2018,22154,2728,2728.00,DSF: 0000053506
30,Q069,P.S. 69 - QUEENS,SCA CIP,DEFECTIVE CHIMNEY MASONRY/FLOOD/ROOFS/FLOORING,Scope,Complete,03/24/2016,08/08/2016,11/08/2016,54339,73056,71152.00,"DSF: 0000834091, 0000856028, 0000865950, 0000865951"
30,Q069,P.S. 69 - QUEENS,SCA CIP RESOA,FY19 RESO A PLAYGROUND,"CM, F&E",PNS,PNS,PNS,PNS,17400,36886,1337.00,DSF: 0000890865
30,Q069,P.S. 69 - QUEENS,SCA CIP RESOA,FY15 RESO A IP SURVEILLANCE CAMERA INSTALLATION,"CM, F&E",In-Progress,05/14/2018,03/09/2019,,108682,108981,67983.00,DSF: 0000800795
30,Q069,P.S. 69 - QUEENS,SCA CIP RESOA,FY15 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Construction,In-Progress,05/14/2018,03/09/2019,,294800,190938,133600.00,DSF: 0000800795
30,Q069,P.S. 69 - QUEENS,SCA CIP RESOA,FY19 RESO A PLAYGROUND,Construction,PNS,PNS,PNS,PNS,255200,540991,76.00,DSF: 0000890865
30,Q069,P.S. 69 - QUEENS,SCA CIP RESOA,FY15 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Design,Complete,11/17/2017,05/16/2018,03/07/2018,20100,17330,17330.00,DSF: 0000800795
30,Q069,P.S. 69 - QUEENS,SCA CIP RESOA,FY19 RESO A PLAYGROUND,Design,PNS,PNS,PNS,PNS,17400,2393,2393.00,DSF: 0000890865
30,Q069,P.S. 69 - QUEENS,SCA CIP RESOA,FY19 RESO A PLAYGROUND,Scope,Complete,11/07/2018,02/11/2019,02/07/2019,0,17198,598.00,DSF: 0000890865
30,Q069,P.S. 69 - QUEENS,SCA CIP RESOA,FY15 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Scope,Complete,10/30/2017,03/05/2018,11/17/2017,0,4316,4316.00,DSF: 0000800795
30,Q070,P.S. 70 - QUEENS,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,34738,34738,0.00,DSF: 0000822539
30,Q070,P.S. 70 - QUEENS,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,74437,74437,0.00,DSF: 0000823069
30,Q070,P.S. 70 - QUEENS,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,50000,50000,0.00,DSF: 0000890275
24,Q071,P.S. 71 - QUEENS,DIIT - Project Conne,"DATA/VOICE & WIRELESS NETWORK CABLE WIRING, NETWOR",Purch & Install,In-Progress,02/06/2009,DIIT,,DIIT,924338,924338.00,DSF: 0000800165
24,Q071,P.S. 71 - QUEENS,DIIT - RESOA,FY18 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,100000,100000,0.00,DSF: 0000867751
24,Q071,P.S. 71 - QUEENS,DIIT - RESOA,FY18 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,80000,80000,0.00,DSF: 0000867763
24,Q071,P.S. 71 - QUEENS,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,100000,100000,0.00,DSF: 0000890276
24,Q071,P.S. 71 - QUEENS,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,70000,70000,0.00,DSF: 0000823501
24,Q071,P.S. 71 - QUEENS,DIIT - RESOA,FY15 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,34649,34649,0.00,DSF: 0000800797
24,Q071,P.S. 71 - QUEENS,DOE- RESOA,FY19 RESO A ROOM CONVERSIONS/PARTITIONING,Construction,In-Progress,11/26/2018,DOER,,70000,48240,48240.00,DSF: 0000911800
24,Q071,P.S. 71 - QUEENS,DOE- RESOA,FY18 RESO A TOILETS-STUDENTS,Construction,In-Progress,11/30/2017,DOER,,190000,242076,242076.00,DSF: 0000867394
24,Q071,P.S. 71 - QUEENS,SCA CIP,PARAPETS/EXTERIOR MASONRY/ROOFS,"CM, F&E",In-Progress,06/18/2018,12/09/2019,,539000,228790,209150.00,"DSF: 0000766068, 0000766069, 0000878637"
24,Q071,P.S. 71 - QUEENS,SCA CIP,LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,"CM, F&E",PNS,PNS,PNS,PNS,12047,12047,0.00,DSF: 0000912405
24,Q071,P.S. 71 - QUEENS,SCA CIP,LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Construction,PNS,PNS,PNS,PNS,51982,51982,0.00,DSF: 0000912405
24,Q071,P.S. 71 - QUEENS,SCA CIP,PARAPETS/EXTERIOR MASONRY/ROOFS,Construction,In-Progress,06/18/2018,12/09/2019,,8662501,7792488,1097040.00,"DSF: 0000766068, 0000766069, 0000878637"
24,Q071,P.S. 71 - QUEENS,SCA CIP,LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Design,In-Progress,03/22/2019,08/21/2019,,4908,4908,0.00,DSF: 0000912405
24,Q071,P.S. 71 - QUEENS,SCA CIP,PARAPETS/EXTERIOR MASONRY/ROOFS,Design,Complete,02/12/2014,07/15/2014,07/29/2015,462000,436255,363874.00,"DSF: 0000766068, 0000766069, 0000878637"
24,Q071,P.S. 71 - QUEENS,SCA CIP,LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Scope,Complete,03/21/2019,07/22/2019,03/22/2019,1339,0,0.00,DSF: 0000912405
24,Q071,P.S. 71 - QUEENS,SCA CIP,PARAPETS/EXTERIOR MASONRY/ROOFS,Scope,Complete,07/10/2013,11/25/2013,02/12/2014,115500,128145,128145.00,"DSF: 0000766068, 0000766069, 0000878637"
24,Q071,P.S. 71 - QUEENS,SCA CIP RESOA,FY19 RESO A SUPPLEMENTAL COOLING,"CM, F&E",PNS,PNS,PNS,PNS,3600,3600,0.00,DSF: 0000890866
24,Q071,P.S. 71 - QUEENS,SCA CIP RESOA,FY19 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,52800,52800,0.00,DSF: 0000890866
24,Q071,P.S. 71 - QUEENS,SCA CIP RESOA,FY19 RESO A SUPPLEMENTAL COOLING,Design,PNS,PNS,PNS,PNS,3600,3150,1800.00,DSF: 0000890866
24,Q071,P.S. 71 - QUEENS,SCA CIP RESOA,FY19 RESO A SUPPLEMENTAL COOLING,Scope,Complete,10/29/2018,12/28/2018,11/28/2018,0,450,450.00,DSF: 0000890866
24,Q071,P.S. 71 - QUEENS,SCA IEH,IEH PO18-ROOMS 406 & 408,Construction,Complete,11/06/2018,IEH,01/01/2019,IEH,65077,0.00,DSF: 0000054747
24,Q071,P.S. 71 - QUEENS,SCA IEH,IEH PO18-ROOM 405,Construction,Complete,11/03/2018,IEH,11/05/2018,IEH,17188,0.00,DSF: 0000054707
28,Q072,REDWOOD MIDDLE SCHOOL,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,35000,35000,0.00,DSF: 0000844565
28,Q072,REDWOOD MIDDLE SCHOOL,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,150000,150000,0.00,DSF: 0000890394
28,Q072,J.H.S. 72 - QUEENS,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,34732,34732,0.00,DSF: 0000822458
28,Q072,J.H.S. 72 - QUEENS,DOE- RESOA,FY15 RESO A ROOM CONVERSIONS / PARTITIONING,Construction,PNS,PNS,PNS,PNS,225000,0,0.00,DSF: 0000800469
28,Q072,J.H.S. 72 - QUEENS,SCA CIP,SCIENCE LAB UPGRADES,"CM, F&E",In-Progress,07/16/2018,10/08/2019,,170667,202318,67204.00,DSF: 0000812057
28,Q072,J.H.S. 72 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,"CM, F&E",In-Progress,11/02/2018,07/29/2019,,54591,24401,17519.00,DSF: 0000868220
28,Q072,J.H.S. 72 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Construction,In-Progress,11/02/2018,07/29/2019,,235550,236039,14725.00,DSF: 0000868220
28,Q072,J.H.S. 72 - QUEENS,SCA CIP,SCIENCE LAB UPGRADES,Construction,In-Progress,07/16/2018,10/08/2019,,2742863,2524463,641691.00,DSF: 0000812057
28,Q072,J.H.S. 72 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Design,Complete,08/16/2018,01/22/2019,09/05/2018,22241,16893,16893.00,DSF: 0000868220
28,Q072,J.H.S. 72 - QUEENS,SCA CIP,SCIENCE LAB UPGRADES,Design,Complete,06/10/2015,11/10/2015,03/29/2016,146286,134407,120260.00,DSF: 0000812057
28,Q072,J.H.S. 72 - QUEENS,SCA CIP,SCIENCE LAB UPGRADES,Scope,Complete,02/06/2015,05/22/2015,06/09/2015,36572,22636,22636.00,DSF: 0000812057
28,Q072,J.H.S. 72 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Scope,Complete,08/09/2018,12/12/2018,08/16/2018,6066,4223,4223.00,DSF: 0000868220
24,Q073,I.S. 73 - QUEENS,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,100000,100000,0.00,DSF: 0000890277
24,Q073,I.S. 73 - QUEENS,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,35000,35000,0.00,DSF: 0000844043
24,Q073,I.S. 73 - QUEENS,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,35000,35000,0.00,DSF: 0000822442
